%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
25067.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_248,no commment
24767.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_249,no commment
24767.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_250,no commment
24467.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_251,no commment
24467.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_252,no commment
23867.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_253,no commment
23867.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_254,no commment
24167.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_255,no commment
24167.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_256,no commment
24167.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_257,no commment
24467.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_258,no commment
23867.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_259,no commment
24767.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_260,no commment
25067.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_261,no commment
25367.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_262,no commment
28367.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_263,no commment
28367.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_264,no commment
28652.012,6255.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_265,no commment
28952.012,6255.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_266,no commment
29252.012,6255.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_267,no commment
27467.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_268,no commment
